Factor,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,Mean1,Mean2,F2C,Mean.diff.log,comparisons,lab.p.adj,lab.p,label,Group
ALT,1.21342197492172,Value,BL,T24,19,19,122,0.293,-1.32057518169832,3.88002815861447,Wilcoxon,two.sided,0.4688,14.9391103837083,13.6155154793138,-0.133842635526759,-0.843115514155032,BL/T24,ns,ns,ns/ns,nonK
APTT,2.35053498222402,Value,BL,T24,17,17,114,0.0797,-0.332439702129586,4.54588276933277,Wilcoxon,two.sided,0.212533333333333,30.7753831897386,28.816036800429,-0.0949048912754312,-1.08496842953046,BL/T24,ns,ns,ns/ns,nonK
E2,-73.176364057454,Value,BL,T24,19,19,40,0.0258,-122.677875662442,-14.1377584957578,Wilcoxon,two.sided,0.2064,49.156989587725,117.143829302303,1.25281248867511,4.23391575763198,BL/T24,ns,*,*/ns,nonK
Glu,-0.875868106662707,Value,BL,T24,20,20,88,0.546,-3.34231068361462,1.53772218900786,Wilcoxon,two.sided,0.624,4.95018534043574,5.90600885532279,0.254700977306794,0.670811339979014,BL/T24,ns,ns,ns/ns,nonK
HDL_C,1.25929775549856,Value,BL,T24,19,19,128,0.196,-0.582924979941496,3.26147684391451,Wilcoxon,two.sided,0.392,1.77047116065907,0.553728780684628,-1.67688192910055,-0.796038721795786,BL/T24,ns,ns,ns/ns,nonK
HGB,-0.449205919276388,Value,BL,T24,20,20,101,0.898,-4.57131297065183,4.98392453890754,Wilcoxon,two.sided,0.898,126.941850361092,126.346294722123,-0.00678442135565803,-0.467222038562356,BL/T24,ns,ns,ns/ns,nonK
hsCRP,-3.63177962994554,Value,BL,T24,16,16,33,0.0739,-6.62903945904763,0.726142674921494,Wilcoxon,two.sided,0.212533333333333,0.657206858382511,3.49125496510714,2.4093262792997,1.34392119194292,BL/T24,ns,ns,ns/ns,nonK
Left_Ovary_Diameter_1,2.00264910129041,Value,BL,T24,14,14,63,0.542,-5.51699425372861,7.97291960260118,Wilcoxon,two.sided,0.624,21.8177307368577,20.1867419433595,-0.11209297024328,-0.967359742641313,BL/T24,ns,ns,ns/ns,nonK
FSFI,-1.26807845297785,Value,BL,T04,20,20,80,0.368,-3.94461660590467,1.37118236210055,Wilcoxon,two.sided,0.696,15.7993382301502,17.1502014202922,0.118361389152753,0.854782575666502,BL/T04,ns,ns,ns/ns,onlyK
FSFI,-3.08830619510746,Value,BL,T12,20,20,53,0.0532,-5.1038979528416,0.0236475121958435,Wilcoxon,two.sided,0.6384,15.7993382301502,17.8705940274465,0.177723460022348,1.12208653245302,BL/T12,ns,ns,ns/ns,onlyK
FSFI,-2.96935212454628,Value,BL,T24,20,20,62,0.114,-7.34557114392031,0.639691102729818,Wilcoxon,two.sided,0.684,15.7993382301502,19.2217979140091,0.282879154083569,1.48669603086756,BL/T24,ns,ns,ns/ns,onlyK
FSFI,-0.774245525636037,Value,T04,T12,20,20,87,0.522,-3.61608944714095,2.46988152839162,Wilcoxon,two.sided,0.696,17.1502014202922,17.8705940274465,0.059362070869595,0.542552524751408,T04/T12,ns,ns,ns/ns,onlyK
FSFI,-1.53284539076753,Value,T04,T24,20,20,85,0.475,-4.34363051174099,1.23530103851987,Wilcoxon,two.sided,0.696,17.1502014202922,19.2217979140091,0.164517764930816,1.12219745695677,T04/T24,ns,ns,ns/ns,onlyK
FSFI,-1.3092511473752,Value,T12,T24,20,20,82,0.409,-4.53042466605086,2.0968351474144,Wilcoxon,two.sided,0.696,17.8705940274465,19.2217979140091,0.10515569406122,0.854927489133569,T12/T24,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,0.200612707520023,Value,BL,T04,20,20,110,0.869,-1.88766759097706,2.27663598077361,Wilcoxon,two.sided,0.956,1.10098154389072,0.693960458469563,-0.665864918547812,-0.341474764104653,BL/T04,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,1.12170754783948,Value,BL,T12,20,20,137,0.245,-1.8339287203794,3.61614014644674,Wilcoxon,two.sided,0.696,1.10098154389072,-0.0292982086091285,NA,-0.756253310298904,BL/T12,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,0.101129867957001,Value,BL,T24,20,20,108,0.927,-1.61488344559762,1.95836323612191,Wilcoxon,two.sided,0.956,1.10098154389072,0.91958861176328,-0.259729779878563,-0.166694193248625,BL/T24,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,1.37181388827372,Value,T04,T12,20,20,133,0.312,-1.49482289270682,3.41220581503326,Wilcoxon,two.sided,0.696,0.693960458469563,-0.0292982086091285,NA,-0.544217072266808,T04/T12,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,-0.0313617557513168,Value,T04,T24,20,20,103,0.956,-2.12191506000506,1.78830397255145,Wilcoxon,two.sided,0.956,0.693960458469563,0.91958861176328,0.406135138669249,0.203453490769829,T04/T24,ns,ns,ns/ns,onlyK
Hot_flashes_and_sweating,-1.15967367307972,Value,T12,T24,20,20,81,0.388,-3.19186428826479,1.1824017446434,Wilcoxon,two.sided,0.696,-0.0292982086091285,0.91958861176328,NA,0.667258348224796,T12/T24,ns,ns,ns/ns,onlyK
