Factor,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,Mean1,Mean2,Mean.diff.log,comparisons,lab.p.adj,lab.p,label,Sites
Adlercreutzia_equolifaciens,-0.0311567747782531,Value,BL,T04,20,20,100,0.869,-0.368900541321357,0.245253384964817,Wilcoxon,two.sided,0.99807,-2.82328664718916,-2.74138703096571,0.0787183999867167,BL/T04,ns,ns,ns/ns,VA
Agathobaculum_butyriciproducens,-0.0597381542468267,Value,BL,T04,20,20,91,0.622,-0.410957911450189,0.20613519386297,Wilcoxon,two.sided,0.99807,-2.71487363204226,-2.6113046976006,0.0985494136730753,BL/T04,ns,ns,ns/ns,VA
Akkermansia_muciniphila,-0.199102884432472,Value,BL,T04,20,20,74,0.261,-0.463873587092929,0.115694437781207,Wilcoxon,two.sided,0.99807,-2.7046942741803,-2.56605541137907,0.129833569045484,BL/T04,ns,ns,ns/ns,VA
Alistipes_communis,-0.0746752892570094,Value,BL,T04,20,20,84,0.452,-0.240009310836274,0.24681871148228,Wilcoxon,two.sided,0.99807,-2.75277998774297,-2.74673551956124,0.00602627366457244,BL/T04,ns,ns,ns/ns,VA
Alistipes_finegoldii,0.0412615668291331,Value,BL,T04,20,20,112,0.812,-0.283402854435961,0.402925600034611,Wilcoxon,two.sided,0.99807,-2.6940666688156,-2.77493790222992,-0.0777674135363577,BL/T04,ns,ns,ns/ns,VA
Alistipes_ihumii,0.199281966114776,Value,BL,T04,20,20,151,0.0897,-0.0610512593119021,0.415881653595481,Wilcoxon,two.sided,0.99807,-2.70112467137204,-2.86875087329073,-0.154972800580811,BL/T04,ns,ns,ns/ns,VA
Alistipes_indistinctus,-0.117910439481234,Value,BL,T04,20,20,85,0.475,-0.435470548729495,0.159406764646758,Wilcoxon,two.sided,0.99807,-2.90922984448828,-2.77424900185756,0.126615772051457,BL/T04,ns,ns,ns/ns,VA
Alistipes_onderdonkii,-0.056285727568948,Value,BL,T04,20,20,96,0.756,-0.500383412572504,0.247646806533948,Wilcoxon,two.sided,0.99807,-2.77033955969151,-2.62382048275476,0.136730462459333,BL/T04,ns,ns,ns/ns,VA
Alistipes_putredinis,-0.139292720596912,Value,BL,T04,20,20,80,0.368,-0.478558240322121,0.20365004864904,Wilcoxon,two.sided,0.99807,-2.66329253488132,-2.53884522337754,0.117291636276171,BL/T04,ns,ns,ns/ns,VA
Alistipes_senegalensis,0.181739737048095,Value,BL,T04,20,20,140,0.202,-0.165892027880056,0.547978622618646,Wilcoxon,two.sided,0.99807,-2.65735735162082,-2.91591658013816,-0.229967597272735,BL/T04,ns,ns,ns/ns,VA
Alistipes_shahii,0.168622759134732,Value,BL,T04,20,20,143,0.165,-0.102239506167884,0.475013535467501,Wilcoxon,two.sided,0.99807,-2.63356597903223,-2.83206922264052,-0.181073481278533,BL/T04,ns,ns,ns/ns,VA
Alistipes_sp_AF17_16,0.165939714277536,Value,BL,T04,20,20,125,0.475,-0.254362998662755,0.528948139481082,Wilcoxon,two.sided,0.99807,-2.75628772357324,-2.90199253591784,-0.136020004261767,BL/T04,ns,ns,ns/ns,VA
Anaerobutyricum_hallii,-0.263290153628568,Value,BL,T04,20,20,70,0.202,-0.470141842104369,0.0984147520839178,Wilcoxon,two.sided,0.99807,-2.87082475901494,-2.68950661410893,0.166630886971194,BL/T04,ns,ns,ns/ns,VA
Anaerobutyricum_soehngenii,-0.204470509614039,Value,BL,T04,20,20,63,0.123,-0.528740913524951,0.0587962815620515,Wilcoxon,two.sided,0.99807,-2.95130869899974,-2.68580248629667,0.235472210278287,BL/T04,ns,ns,ns/ns,VA
Anaerostipes_hadrus,-0.15123633714055,Value,BL,T04,20,20,74,0.261,-0.401933103900765,0.0943232886381156,Wilcoxon,two.sided,0.99807,-2.72569097317917,-2.57148465287321,0.143412939198954,BL/T04,ns,ns,ns/ns,VA
Anaerotignum_faecicola,0.0094205612611441,Value,BL,T04,20,20,110,0.869,-0.316310759301243,0.301718051040418,Wilcoxon,two.sided,0.99807,-2.73827725445002,-2.74355740668578,-0.00526626110866,BL/T04,ns,ns,ns/ns,VA
Anaerotignum_lactatifermentans,-0.167125897712851,Value,BL,T04,20,20,57,0.0759,-0.333100332501184,0.0312489030032534,Wilcoxon,two.sided,0.99807,-2.82203285935356,-2.67123089358906,0.140459060865937,BL/T04,ns,ns,ns/ns,VA
Anaerotruncus_colihominis,-0.187057159328102,Value,BL,T04,20,20,50,0.04,-0.387279713413285,-0.0285986643217999,Wilcoxon,two.sided,0.977426086956522,-2.91321027015605,-2.72916959708066,0.168932888131407,BL/T04,ns,*,*/ns,VA
Bacteroides_caccae,0.0653972076052062,Value,BL,T04,20,20,119,0.622,-0.307858205397544,0.320042183055031,Wilcoxon,two.sided,0.99807,-2.47587592817635,-2.4871803888983,-0.0112410427952764,BL/T04,ns,ns,ns/ns,VA
