"factor","SampleNum","Df","SumsOfSqs","R2","F.Model","Pvalue","Disp_pval","R2.adjust","Padjust","var_type","na_count","stats"
"Age",20,1,0.122291627982379,0.061085255623232,1.17106969275259,1,NA,0.00892332538007823,1,"numeric","60","Mean+-SD: -0.00 +- 1.00"
"APTT",39,1,0.145944362093128,0.0365915625357534,1.40531031406202,0.5,NA,0.0105534966583415,0.981818181818182,"numeric","41","Mean+-SD: 0.00 +- 1.00"
"Left_Ovary_Diameter_1",27,1,0.0907117493600547,0.0346368357579977,0.896989781695119,0.6,NA,-0.00397769081168242,0.981818181818182,"numeric","53","Mean+-SD: -0.00 +- 1.00"
"HGB",39,1,0.128000358672576,0.032092593792542,1.2267970703693,0.5,NA,0.00593293416531349,0.981818181818182,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"ALT",38,1,0.112410522190502,0.0289199660219918,1.07212458331244,0.7,NA,0.00194552063371367,0.981818181818182,"numeric","42","Mean+-SD: -0.00 +- 1.00"
"E2",38,1,0.110130560883367,0.0286703299031181,1.06259687960454,0.2,NA,0.00168895017820481,0.981818181818182,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"hsCRP",37,1,0.102153415672461,0.0272423780576797,0.980185824825464,0.5,NA,-0.00055069685495801,0.981818181818182,"numeric","43","Mean+-SD: 0.00 +- 1.00"
"Glu",38,1,0.0948175414232914,0.0243938024912233,0.900134595215238,0.3,NA,-0.00270636966179816,0.981818181818182,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"Time",80,3,0.20334776725036,0.0243679756027381,0.632740657507707,0.9,0.8,-0.0141438148339958,0.981818181818182,"factor","0","BL:20; T04:20; T12:20; T24:20"
"FSFI",80,1,0.194221712742215,0.0232743640199272,1.85865951161679,0.1,NA,0.0107522404817212,0.981818181818182,"numeric","0","Mean+-SD: -0.00 +- 1.00"
"HDL_C",39,1,0.0830321810252636,0.020818051488191,0.78664430674375,0.9,NA,-0.00564632549861477,0.981818181818182,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"Hot_flashes_and_sweating",80,1,0.0716033139535011,0.00858051126445806,0.675072344483897,0.9,NA,-0.00412999500138223,0.981818181818182,"numeric","0","Mean+-SD: 0.00 +- 1.00"
