"factor","SampleNum","Df","SumsOfSqs","R2","F.Model","Pvalue","Disp_pval","R2.adjust","Padjust","var_type","na_count","stats"
"Age",20,1,0.126524613197127,0.0800032414595881,1.5652863261793,1,NA,0.0288923104295653,1,"numeric","60","Mean+-SD: -0.00 +- 1.00"
"ALT",38,1,0.150525641869505,0.0479390078461202,1.81270348925438,0.3,NA,0.0214928691751791,0.9,"numeric","42","Mean+-SD: -0.00 +- 1.00"
"HGB",39,1,0.11404723714632,0.03560671852267,1.36609058839628,0.7,NA,0.00954203523949892,0.933333333333333,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"Left_Ovary_Diameter_1",27,1,0.0664765886146262,0.0318582745216679,0.822665568564551,0.9,NA,-0.00686739449746532,0.981818181818182,"numeric","53","Mean+-SD: -0.00 +- 1.00"
"E2",38,1,0.0956842860499211,0.0306450979513894,1.13810073474482,0.1,NA,0.00371857289448352,0.6,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"Time",80,3,0.200283716090203,0.0302380433739848,0.789915944739793,0.5,1,-0.00804203386125257,0.9,"factor","0","BL:20; T04:20; T12:20; T24:20"
"APTT",39,1,0.0745785715600189,0.023284195845564,0.882053144447376,0.5,NA,-0.00311352859104241,0.9,"numeric","41","Mean+-SD: 0.00 +- 1.00"
"hsCRP",37,1,0.0646652944744244,0.0213023539189018,0.761810749363732,0.6,NA,-0.00666043596912957,0.9,"numeric","43","Mean+-SD: 0.00 +- 1.00"
"Glu",38,1,0.0665234314361884,0.0211862062965655,0.779211972269615,0.9,NA,-0.00600306575075216,0.981818181818182,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"Hot_flashes_and_sweating",80,1,0.125793383918417,0.0189917876167841,1.51003775035727,0.1,NA,0.00641475925289681,0.6,"numeric","0","Mean+-SD: 0.00 +- 1.00"
"HDL_C",39,1,0.0587458400448978,0.0183410544893149,0.691298153200871,0.5,NA,-0.00819026836232517,0.9,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"FSFI",80,1,0.0664491932210081,0.0100322363994795,0.790444363878463,0.6,NA,-0.00265965800565526,0.9,"numeric","0","Mean+-SD: -0.00 +- 1.00"
