"factor","SampleNum","Df","SumsOfSqs","R2","F.Model","Pvalue","Disp_pval","R2.adjust","Padjust","var_type","na_count","stats"
"Age",20,1,0.335723296143684,0.093145499992895,1.84882911190161,1,NA,0.0427646944369448,1,"numeric","60","Mean+-SD: -0.00 +- 1.00"
"Left_Ovary_Diameter_1",27,1,0.366836393520881,0.0704460338651381,1.89461925911781,0.5,NA,0.0332638752197435,0.933333333333333,"numeric","53","Mean+-SD: -0.00 +- 1.00"
"FSFI",80,1,0.644785634882776,0.0413786997074991,3.36685464447757,0.5,NA,0.0290886830370823,0.933333333333333,"numeric","0","Mean+-SD: -0.00 +- 1.00"
"ALT",38,1,0.260531314105337,0.0347105272529614,1.29451218146048,0.7,NA,0.00789693078776588,0.933333333333333,"numeric","42","Mean+-SD: -0.00 +- 1.00"
"HGB",39,1,0.256617521211908,0.0336925950089925,1.2900925822299,0.1,NA,0.00757617865788418,0.933333333333333,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"E2",38,1,0.194206035454362,0.02605024045099,0.962892230365038,0.7,NA,-0.00100391953648238,0.933333333333333,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"APTT",39,1,0.161000518764168,0.0211385615812233,0.799016845293942,1,NA,-0.00531715297063551,1,"numeric","41","Mean+-SD: 0.00 +- 1.00"
"HDL_C",39,1,0.16084296885854,0.021117876067861,0.798218085107279,0.7,NA,-0.00533839755192655,0.933333333333333,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"Time",80,3,0.288377003566373,0.0185064070716941,0.47766891452732,0.6,0.7,-0.0202367610702128,0.933333333333333,"factor","0","BL:20; T04:20; T12:20; T24:20"
"Glu",38,1,0.136670652590026,0.0182085997136147,0.66766686843959,0.5,NA,-0.00906338362767389,0.933333333333333,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"hsCRP",37,1,0.103020796719683,0.0142656390610035,0.506523244923206,0.9,NA,-0.0138981998229677,1,"numeric","43","Mean+-SD: 0.00 +- 1.00"
"Hot_flashes_and_sweating",80,1,0.185402921141989,0.0118981121535411,0.939227785505879,0.3,NA,-0.000769860767567465,0.933333333333333,"numeric","0","Mean+-SD: 0.00 +- 1.00"
