"factor","SampleNum","Df","SumsOfSqs","R2","F.Model","Pvalue","Disp_pval","R2.adjust","Padjust","var_type","na_count","stats"
"Age",20,1,0.458114309809936,0.0943523527001811,1.87527936904253,1,NA,0.0440385945168578,1,"numeric","60","Mean+-SD: -0.00 +- 1.00"
"Left_Ovary_Diameter_1",27,1,0.53572396796464,0.0812467048944326,2.21078676199733,0.7,NA,0.0444965730902099,0.933333333333333,"numeric","53","Mean+-SD: -0.00 +- 1.00"
"FSFI",80,1,1.19110381702549,0.0605620163892501,5.02836521491854,0.6,NA,0.0485179396762919,0.933333333333333,"numeric","0","Mean+-SD: -0.00 +- 1.00"
"HGB",39,1,0.284590069637263,0.0292478343626224,1.11477461469942,0.7,NA,0.00301128934539596,0.933333333333333,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"E2",38,1,0.22859706783053,0.0238732837062845,0.880457628175027,0.5,NA,-0.00324134730187442,0.933333333333333,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"hsCRP",37,1,0.200844921059128,0.0215412301414931,0.770541466005038,0.6,NA,-0.00641473471160703,0.933333333333333,"numeric","43","Mean+-SD: 0.00 +- 1.00"
"ALT",38,1,0.196259341303402,0.0206566011945291,0.759322668545152,0.9,NA,-0.00654738210562278,0.981818181818182,"numeric","42","Mean+-SD: -0.00 +- 1.00"
"Time",80,3,0.384609973072895,0.0195556047758104,0.50528990397997,0.4,1,-0.0191461476672496,0.933333333333333,"factor","0","BL:20; T04:20; T12:20; T24:20"
"HDL_C",39,1,0.182049265118468,0.0187095310767825,0.70545131310668,0.7,NA,-0.00781183294816934,0.933333333333333,"numeric","41","Mean+-SD: -0.00 +- 1.00"
"APTT",39,1,0.165880668792205,0.0170478552922782,0.641710432405489,0.8,NA,-0.00951841888901162,0.96,"numeric","41","Mean+-SD: 0.00 +- 1.00"
"Glu",38,1,0.161130880973238,0.0169592760593333,0.621066781128439,0.7,NA,-0.0103474107167962,0.933333333333333,"numeric","42","Mean+-SD: 0.00 +- 1.00"
"Hot_flashes_and_sweating",80,1,0.307851600333074,0.0156528032219625,1.24033334509346,0.4,NA,0.00303296736583381,0.933333333333333,"numeric","0","Mean+-SD: 0.00 +- 1.00"
